"X0","X1","X2","V4"
"C22:0 ex Br /100g FA (g)","FAC22:0xb","ex Br Docosanoic acid per 100g fatty acids",NA
"C24:0 /100g FA (g)","FAC24:0","Tetracosanoic acid per 100g fatty acids",NA
"C24:0 ex Br /100g FA (g)","FAC24:0xb","ex Br Tetracosanoic acid per 100g fatty acids",NA
"C25:0 ex Br /100g FA (g)","FAC25:0xb","ex Br Pentacosanoic acid per 100g fatty acids",NA
"C4:0 /100g food (g)","FOD4:0","Butanoic acid per 100g food",NA
"C6:0 /100g food (g)","FOD6:0","Hexanoic acid per 100g food",NA
"C8:0 /100g food (g)","FOD8:0","Octanoic acid per 100g food",NA
"C10:0 /100g food (g)","FOD10:0","Decanoic acid per 100g food",NA
"C11:0 ex Br /100g food (g)","FOD11:0xb",NA,NA
"C12:0 /100g food (g)","FOD12:0","Dodecanoic acid per 100g food",NA
"C12:0 ex Br /100g food (g)","FOD12:0xb","ex Br Dodecanoic acid per 100g food",NA
"C13:0 /100g food (g)","FOD13:0","Tridecanoic acid per 100g food",NA
"C13:0 ex Br /100g food (g)","FOD13:0xb","ex Br Tridecanoic acid per 100g food",NA
"C14:0 /100g food (g)","FOD14:0","Tetradecanoic acid per 100g food",NA
"C14:0 ex Br /100g food (g)","FOD14:0xb","ex Br Tetradecanoic acid per 100g food",NA
"C15:0 /100g food (g)","FOD15:0","Pentadecanoic acid per 100g food",NA
"C15:0 ex Br /100g food (g)","FOD15:0xb","ex Br Pentadecanoic acid per 100g food",NA
"C16:0 /100g food (g)","FOD16:0","Hexadecanoic acid per 100g food",NA
"C16:0 ex Br /100g food (g)","FOD16:0xb","ex Br Hexadecanoic acid per 100g food",NA
"C17:0 /100g food (g)","FOD17:0","Heptadecanoic acid per 100g food",NA
"C17:0 ex Br /100g food (g)","FOD17:0xb","ex Br Heptadecanoic acid per 100g food",NA
"C18:0 /100g food (g)","FOD18:0","Octadecanoic acid per 100g food",NA
"C18:0 ex Br /100g food (g)","FOD18:0xb","ex Br Octadecanoic acid per 100g food",NA
"C19:0 /100g food (g)","FOD19:0","Nonadecanoic acid per 100g food",NA
"C20:0 /100g food (g)","FOD20:0","Eicosanoic acid per 100g food",NA
"C20:0 ex Br /100g food (g)","FOD20:0xb","ex Br Eicosanoic acid per 100g food",NA
"C22:0 /100g food (g)","FOD22:0","Docosanoic acid per 100g food",NA
"C22:0 ex Br /100g food (g)","FOD22:0xb","ex Br Docosanoic acid per 100g food",NA
"C24:0 /100g food (g)","FOD24:0","Tetracosanoic acid per 100g food",NA
"C24:0 ex Br /100g food (g)","FOD24:0xb","ex Br Tetracosanoic acid per 100g food",NA
"C25:0 ex Br /100g food (g)","FOD25:0xb","ex Br Pentacosanoic acid per 100g food",NA
"C10:1 /100g FA (g)","FAC10:1","fAC10:1",NA
"cis C10:1 /100g FA (g)","FAC10:1c","cisDecenoic acid per 100g fatty acids",NA
"C12:1 /100g FA (g)","FAC12:1","Dodecenoic acid per 100g fatty acids",NA
"cis C12:1 /100g FA (g)","FAC12:1c","cisDodecenoic acid per 100g fatty acids",NA
"C14:1 /100g FA (g)","FAC14:1","Tetradecenoic acid per 100g fatty acids",NA
"cis C14:1 /100g FA (g)","FAC14:1c","cisTetradecenoic acid per 100g fatty acids",NA
"C15:1 /100g FA (g)","FAC15:1","Pentadecenoic acid per 100g fatty acids",NA
"cis C15:1 /100g FA (g)","FAC15:1c","cisPentadecenoic acid per 100g fatty acids",NA
"C16:1 /100g FA (g)","FAC16:1","Hexadecenoic acid per 100g fatty acids",NA
"cis C16:1 /100g FA (g)","FAC16:1c","cisHexadecenoic acid per 100g fatty acids",NA
"C17:1 /100g FA (g)","FAC17:1","Heptadecenoic acid per 100g fatty acids",NA
"cis C17:1 /100g FA (g)","FAC17:1c","cisHeptadecenoic acid per 100g fatty acids",NA
